新黄小区,普陀,甘泉宜川二手房,53879元/平米
金泽苑,浦东,金桥二手房,50505元/平米
古北御庭,浦东,花木二手房,101973元/平米
桃林一小区,浦东,洋泾二手房,82566元/平米
汪家井小区,普陀,甘泉宜川二手房,54258元/平米
华高新苑,浦东,金桥二手房,52130元/平米
真如西村,普陀,真如二手房,51250元/平米
龙馨嘉园,静安,彭浦新村二手房,56122元/平米
金杨公寓,浦东,金杨二手房,53520元/平米
新宜小区,普陀,甘泉宜川二手房,56804元/平米
莲花公寓,普陀,桃浦二手房,43417元/平米
春江美庐,宝山,杨行二手房,41250元/平米
华纺小区,静安,曹家渡二手房,86486元/平米
泾东小区,浦东,洋泾二手房,90344元/平米
安塞小区,普陀,甘泉宜川二手房,61412元/平米
呼玛三村,宝山,通河二手房,46745元/平米
金桥新村四街坊,浦东,浦兴路二手房,57188元/平米
泰和新城,宝山,顾村二手房,26946元/平米
长岛花苑,浦东,浦兴路二手房,46816元/平米
通河一村,宝山,通河二手房,44171元/平米
中远两湾城,普陀,中远两湾城二手房,74286元/平米
华高一村,浦东,高行二手房,47332元/平米
金桥湾清水苑一期,浦东,金桥二手房,65955元/平米
古北御庭,浦东,花木二手房,104730元/平米
西康路公房,静安,江宁路二手房,78468元/平米
宝山十村,宝山,淞宝二手房,43069元/平米
万里真欣园,普陀,万里二手房,56863元/平米
泗塘五村,宝山,泗塘二手房,48323元/平米
聚丰景都,宝山,上大二手房,46237元/平米
上海香溢花城公寓,普陀,光新二手房,80909元/平米
金杨新村五街坊,浦东,金杨二手房,54203元/平米
金杨新村六街坊,浦东,金杨二手房,70000元/平米
三林安居苑,浦东,三林二手房,53125元/平米
永和三村,静安,永和二手房,50000元/平米
聚丰福邸,宝山,杨行二手房,52239元/平米
金硕河畔景园南区,闵行,浦江二手房,34667元/平米
月浦九村,宝山,月浦二手房,32353元/平米
通河一村,宝山,通河二手房,54206元/平米
苏堤春晓名苑,普陀,长寿路二手房,86420元/平米
三林苑,浦东,三林二手房,49324元/平米
海江二村,宝山,淞宝二手房,42578元/平米
杨泰三村,宝山,杨行二手房,33333元/平米
华高一村,浦东,高行二手房,54106元/平米
上海壹街区,静安,南京西路二手房,98557元/平米
文华苑,宝山,大场二手房,56215元/平米
骏豪国际,静安,南京西路二手房,72550元/平米
宝林一村,宝山,淞宝二手房,47753元/平米
金杨新村七街坊,浦东,金杨二手房,53191元/平米
金地未未来,浦东,高行二手房,86632元/平米
心中家园,浦东,洋泾二手房,80056元/平米
申立苑二期,浦东,洋泾二手房,82837元/平米
呼玛四村,宝山,通河二手房,43298元/平米
莲花公寓,普陀,桃浦二手房,47962元/平米
天馨花园,宝山,杨行二手房,40426元/平米
泗塘一村,宝山,泗塘二手房,41207元/平米
金巷高层小区,浦东,金桥二手房,47260元/平米
中环滨江大厦,浦东,金桥二手房,39617元/平米
三林苑,浦东,三林二手房,56417元/平米
东泉苑,普陀,甘泉宜川二手房,58374元/平米
锦绣天第花园,浦东,花木二手房,97810元/平米
金杨新村三街坊,浦东,金杨二手房,57500元/平米
甘泉小区,普陀,甘泉宜川二手房,56098元/平米
大华铂金华府,宝山,大场二手房,73022元/平米
金华苑,普陀,万里二手房,60331元/平米
市光三村,杨浦,中原社区二手房,54766元/平米
永和二村,静安,永和二手房,68750元/平米
大华颐和华城,普陀,万里二手房,65657元/平米
华东化工大楼,长宁,中山公园二手房,67728元/平米
万邦都市花园,浦东,花木二手房,87719元/平米
汪家井小区,普陀,甘泉宜川二手房,47904元/平米
宜川二村,普陀,甘泉宜川二手房,53167元/平米
大华锦绣华城12街区,浦东,北蔡二手房,77150元/平米
呼玛二村,宝山,通河二手房,42857元/平米
美墅复地太阳城,普陀,桃浦二手房,68571元/平米
浦发绿城东区,浦东,三林二手房,50350元/平米
景峰苑,静安,彭浦二手房,59263元/平米
弘扬沁园,浦东,洋泾二手房,79137元/平米
古北御庭,浦东,花木二手房,103205元/平米
永和三村,静安,永和二手房,47558元/平米
中艺花园,宝山,淞宝二手房,50554元/平米
呼玛三村,宝山,通河二手房,51863元/平米
浦东星河湾,浦东,花木二手房,82541元/平米
金桥新村,浦东,浦兴路二手房,57895元/平米
上海香溢花城公寓,普陀,光新二手房,92593元/平米
大华锦绣华城12街区,浦东,北蔡二手房,79399元/平米
幸福小镇,浦东,高行二手房,50777元/平米
浦江东旭公寓东区,浦东,金桥二手房,52272元/平米
泾西一村,浦东,洋泾二手房,57407元/平米
大华公园世家康华苑,宝山,大场二手房,55126元/平米
三峰大厦,杨浦,周家嘴路二手房,67525元/平米
星河世纪城一期,普陀,真如二手房,67174元/平米
国和二村,杨浦,中原社区二手房,58333元/平米
栖山小区,浦东,洋泾二手房,64630元/平米
金桥名都,浦东,金桥二手房,62792元/平米
莲花公寓,普陀,桃浦二手房,51787元/平米
大华二村三街坊,宝山,大场二手房,51610元/平米
东二小区,浦东,金桥二手房,48711元/平米
文华苑,宝山,大场二手房,59211元/平米
通河一村,宝山,通河二手房,41830元/平米
品诚苑,浦东,三林二手房,50184元/平米
祥和星宇花园一期,普陀,桃浦二手房,54717元/平米
月浦九村,宝山,月浦二手房,29516元/平米
滨江雅苑,宝山,大场二手房,65066元/平米
中大苑,浦东,浦兴路二手房,54134元/平米
三林安居苑,浦东,三林二手房,52564元/平米
地杰国际城E欧泊时光,浦东,北蔡二手房,64583元/平米
生安花苑,浦东,源深二手房,71770元/平米
大华愉景华庭,普陀,万里二手房,70796元/平米
金龙东苑,浦东,塘桥二手房,93859元/平米
浦江东旭公寓东区,浦东,金桥二手房,52222元/平米
浦东西镇小区,浦东,洋泾二手房,69118元/平米
万邦都市花园,浦东,花木二手房,88119元/平米
梅川四街坊,普陀,曹杨二手房,61979元/平米
浦联佳苑,静安,大宁路二手房,66621元/平米
梅川四街坊,普陀,曹杨二手房,61652元/平米
大连西路540弄,虹口,北外滩二手房,69987元/平米
中远两湾城,普陀,中远两湾城二手房,80467元/平米
慧芝湖花园三期,静安,大宁路二手房,107595元/平米
龙潭小区,静安,彭浦二手房,59970元/平米
长岛花苑,浦东,浦兴路二手房,51140元/平米
荣和怡景园,普陀,桃浦二手房,52083元/平米
龙潭小区,静安,彭浦二手房,59970元/平米
凌霄苑,浦东,三林二手房,51414元/平米
巨杨小区,浦东,洋泾二手房,75962元/平米
锦绣天第花园,浦东,花木二手房,86538元/平米
龙潭小区,静安,彭浦二手房,55677元/平米
梅川四街坊,普陀,曹杨二手房,61979元/平米
金桥新村四街坊,浦东,浦兴路二手房,57838元/平米
仕嘉名苑,浦东,塘桥二手房,88000元/平米
翠竹苑,浦东,三林二手房,53846元/平米
共富二村,宝山,共富二手房,37423元/平米
锦绣天第花园,浦东,花木二手房,87129元/平米
梅川四街坊,普陀,曹杨二手房,61652元/平米
杉林新月家园 (环林东路879弄),浦东,三林二手房,59155元/平米
新宜小区,普陀,甘泉宜川二手房,56804元/平米
梅川四街坊,普陀,曹杨二手房,61979元/平米
阳光威尼斯四期 (金鼎路1600弄),普陀,桃浦二手房,49160元/平米
宝林一村,宝山,淞宝二手房,50900元/平米
东陆新村四街坊,浦东,浦兴路二手房,49250元/平米
金地未未来,浦东,高行二手房,74615元/平米
骏豪国际,静安,南京西路二手房,77860元/平米
万科四季花城,宝山,杨行二手房,44158元/平米
万邦都市花园,浦东,花木二手房,87719元/平米
金杨新村三街坊,浦东,金杨二手房,54087元/平米
浦东星河湾,浦东,花木二手房,82541元/平米
宜川二村,普陀,甘泉宜川二手房,53226元/平米
金藤苑,浦东,浦兴路二手房,55814元/平米
仁恒河滨花园,长宁,天山二手房,89503元/平米
金桥新村浦三小区,浦东,金桥二手房,47368元/平米
甘泉小区,普陀,甘泉宜川二手房,52121元/平米
永和二村,静安,永和二手房,51099元/平米
高荣小区,静安,曹家渡二手房,79104元/平米
中大丽都,浦东,金桥二手房,65649元/平米
东方汇景苑,浦东,塘桥二手房,79861元/平米
兰花教师公寓,杨浦,黄兴公园二手房,73810元/平米
名门河滨花园,浦东,洋泾二手房,75714元/平米
金浦小区,浦东,塘桥二手房,67862元/平米
浦发绿城南区,浦东,三林二手房,53000元/平米
三林安居苑,浦东,三林二手房,53125元/平米
金桥湾南二街坊,浦东,金桥二手房,56024元/平米
呼玛二村,宝山,通河二手房,47393元/平米
金地未未来,浦东,高行二手房,89415元/平米
通河一村,宝山,通河二手房,41830元/平米
莲花公寓,普陀,桃浦二手房,45056元/平米
新都城公寓,静安,曹家渡二手房,76165元/平米
泾西一村,浦东,洋泾二手房,71951元/平米
泾东小区,浦东,洋泾二手房,90344元/平米
永和二村,静安,永和二手房,57380元/平米
大华一村东区,宝山,大场二手房,56291元/平米
品华苑,浦东,三林二手房,51748元/平米
共富一村,宝山,共富二手房,38765元/平米
中环滨江大厦,浦东,金桥二手房,39617元/平米
高荣小区,静安,曹家渡二手房,91743元/平米
水岸华府三期,宝山,大华二手房,64762元/平米
万春街小区,静安,江宁路二手房,133333元/平米
怡东花园,浦东,塘桥二手房,79266元/平米
工农四村,杨浦,中原社区二手房,62069元/平米
馨华苑,宝山,大场二手房,58930元/平米
杉林新月家园 (环林东路879弄),浦东,三林二手房,52885元/平米
杉林新月家园 (环林东路799弄),浦东,三林二手房,53226元/平米
海尚乐苑,浦东,周浦二手房,41176元/平米
宝林三村,宝山,淞宝二手房,47747元/平米
杉林新月家园 (环林东路875弄),浦东,三林二手房,63095元/平米
杨家桥二街坊,普陀,真如二手房,51351元/平米
呼玛二村,宝山,通河二手房,42857元/平米
大华愉景华庭,普陀,万里二手房,70796元/平米
金硕河畔景园南区,闵行,浦江二手房,34667元/平米
永清新村,宝山,淞宝二手房,40462元/平米
鑫鑫花园,宝山,顾村二手房,41547元/平米
万里雅筑,普陀,万里二手房,65385元/平米
宝启公寓,宝山,杨行二手房,41892元/平米
三林安居苑,浦东,三林二手房,57812元/平米
洋泾花园城,浦东,洋泾二手房,69846元/平米
滨江雅苑,宝山,大场二手房,65066元/平米
景舒苑一村,闵行,浦江二手房,33265元/平米
金桥湾清水苑一期,浦东,金桥二手房,63163元/平米
天馨花园,宝山,杨行二手房,39815元/平米
南辉小区,长宁,中山公园二手房,109589元/平米
凌高小区,浦东,洋泾二手房,56588元/平米
金杨新村二街坊,浦东,金杨二手房,65251元/平米
国和二村,杨浦,中原社区二手房,58333元/平米
汪家井小区,普陀,甘泉宜川二手房,54258元/平米
管弄四街坊,普陀,武宁二手房,61840元/平米
绿色丽园,静安,大宁路二手房,77165元/平米
莲花公寓,普陀,桃浦二手房,49107元/平米
万春街小区,静安,江宁路二手房,125532元/平米
金祁新城,普陀,桃浦二手房,48173元/平米
华高一村,浦东,高行二手房,54106元/平米
万春街小区,静安,江宁路二手房,143478元/平米
明丰花园,浦东,三林二手房,54763元/平米
泾西一村,浦东,洋泾二手房,57407元/平米
又一邨,静安,南京西路二手房,105000元/平米
大华二村三街坊,宝山,大场二手房,51610元/平米
浦发绿城南区,浦东,三林二手房,44134元/平米
金恒小区,浦东,六里二手房,63636元/平米
西康路公房,静安,江宁路二手房,78468元/平米
大华铂金华府,宝山,大场二手房,73022元/平米
三林苑,浦东,三林二手房,52039元/平米
龙潭小区,静安,彭浦二手房,56730元/平米
荣和苑,静安,大宁路二手房,60870元/平米
心中家园,浦东,洋泾二手房,80056元/平米
阳光三村,浦东,洋泾二手房,71699元/平米
龙馨嘉园,静安,彭浦新村二手房,56122元/平米
古北御庭,浦东,花木二手房,101973元/平米
明丰花园,浦东,三林二手房,62269元/平米
迎亭公寓,浦东,高行二手房,57210元/平米
栖山小区,浦东,洋泾二手房,62982元/平米
通河一村,宝山,通河二手房,54206元/平米
申立苑二期,浦东,洋泾二手房,82837元/平米
华东化工大楼,长宁,中山公园二手房,67728元/平米
弘扬沁园,浦东,洋泾二手房,79137元/平米
新黄小区,普陀,甘泉宜川二手房,57407元/平米
金地未未来,浦东,高行二手房,85841元/平米
真南路205弄小区,普陀,桃浦二手房,54242元/平米
音乐广场,普陀,长寿路二手房,84787元/平米
恒盛鼎城华公馆,普陀,桃浦二手房,65169元/平米
华江大楼,长宁,天山二手房,81448元/平米
中大苑,浦东,浦兴路二手房,54134元/平米
中环一号,宝山,大场二手房,55597元/平米
蓝高小区,浦东,塘桥二手房,74373元/平米
